Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,1.06868e-14,2.56350e-15,8.12326e-15
4.06000e+02,1.04705e-14,2.44039e-15,8.03012e-15
4.12000e+02,1.02556e-14,2.31844e-15,7.93717e-15
4.18000e+02,1.00405e-14,2.19874e-15,7.84179e-15
4.24000e+02,9.83267e-15,2.08085e-15,7.75183e-15
4.30000e+02,9.64831e-15,1.96863e-15,7.67968e-15
4.36000e+02,9.50488e-15,1.86677e-15,7.63811e-15
4.42000e+02,9.42308e-15,1.77661e-15,7.64647e-15
4.48000e+02,9.41801e-15,1.70002e-15,7.71799e-15
4.54000e+02,9.48415e-15,1.63766e-15,7.84649e-15
4.60000e+02,9.60919e-15,1.58832e-15,8.02087e-15
4.66000e+02,9.75679e-15,1.54582e-15,8.21097e-15
4.72000e+02,1.00036e-14,1.52635e-15,8.47720e-15
4.78000e+02,1.04158e-14,1.54745e-15,8.86835e-15
4.84000e+02,1.10856e-14,1.63863e-15,9.44694e-15
4.90000e+02,1.18766e-14,1.78589e-15,1.00907e-14
4.96000e+02,1.25600e-14,1.93807e-15,1.06219e-14
5.02000e+02,1.32297e-14,2.13385e-15,1.10958e-14
5.08000e+02,1.37739e-14,2.36167e-15,1.14122e-14
5.14000e+02,1.40357e-14,2.59510e-15,1.14406e-14
5.20000e+02,1.38471e-14,2.78667e-15,1.10604e-14
5.26000e+02,1.30210e-14,2.87855e-15,1.01425e-14
5.32000e+02,1.17538e-14,2.85535e-15,8.89846e-15
5.38000e+02,1.02795e-14,2.73563e-15,7.54388e-15
5.44000e+02,8.79365e-15,2.55184e-15,6.24181e-15
5.50000e+02,7.44774e-15,2.34221e-15,5.10552e-15
5.56000e+02,6.33126e-15,2.14551e-15,4.18575e-15
5.62000e+02,5.38038e-15,1.95584e-15,3.42455e-15
5.68000e+02,4.58513e-15,1.77981e-15,2.80532e-15
5.74000e+02,3.92621e-15,1.62007e-15,2.30614e-15
5.80000e+02,3.38354e-15,1.47722e-15,1.90633e-15
5.86000e+02,2.93094e-15,1.34762e-15,1.58332e-15
5.92000e+02,2.55573e-15,1.23225e-15,1.32348e-15
5.98000e+02,2.24639e-15,1.13129e-15,1.11510e-15
6.04000e+02,1.98890e-15,1.04249e-15,9.46406e-16
6.10000e+02,1.77273e-15,9.64000e-16,8.08730e-16
6.16000e+02,1.58977e-15,8.94273e-16,6.95501e-16
6.22000e+02,1.42957e-15,8.33026e-16,5.96540e-16
6.28000e+02,1.29219e-15,7.78183e-16,5.14007e-16
6.34000e+02,1.17413e-15,7.28553e-16,4.45581e-16
6.40000e+02,1.07213e-15,6.83493e-16,3.88633e-16
6.46000e+02,9.83786e-16,6.42512e-16,3.41274e-16
6.52000e+02,9.06841e-16,6.05110e-16,3.01731e-16
6.58000e+02,8.39296e-16,5.70818e-16,2.68479e-16
6.64000e+02,7.82861e-16,5.39291e-16,2.43571e-16
6.70000e+02,7.34104e-16,5.10270e-16,2.23835e-16
6.76000e+02,6.90363e-16,4.83413e-16,2.06950e-16
6.82000e+02,6.51099e-16,4.58544e-16,1.92555e-16
6.88000e+02,6.15815e-16,4.35494e-16,1.80321e-16
6.94000e+02,5.83918e-16,4.14055e-16,1.69863e-16
7.00000e+02,5.55005e-16,3.94077e-16,1.60928e-16
7.06000e+02,5.28690e-16,3.75432e-16,1.53258e-16
7.12000e+02,5.04383e-16,3.58031e-16,1.46352e-16
7.18000e+02,4.81820e-16,3.41734e-16,1.40085e-16
7.24000e+02,4.60797e-16,3.26433e-16,1.34364e-16
7.30000e+02,4.41209e-16,3.12063e-16,1.29145e-16
7.36000e+02,4.22894e-16,2.98535e-16,1.24359e-16
7.42000e+02,4.05778e-16,2.85802e-16,1.19977e-16
7.48000e+02,3.89755e-16,2.73801e-16,1.15955e-16
7.54000e+02,3.74729e-16,2.62475e-16,1.12253e-16
7.60000e+02,3.60816e-16,2.51777e-16,1.09039e-16
7.66000e+02,3.47754e-16,2.41657e-16,1.06097e-16
7.72000e+02,3.35328e-16,2.32078e-16,1.03250e-16
7.78000e+02,3.23496e-16,2.23002e-16,1.00494e-16
7.84000e+02,3.12221e-16,2.14396e-16,9.78253e-17
7.90000e+02,3.01471e-16,2.06228e-16,9.52431e-17
7.96000e+02,2.91212e-16,1.98469e-16,9.27430e-17
8.02000e+02,2.81433e-16,1.91102e-16,9.03318e-17
8.08000e+02,2.72071e-16,1.84084e-16,8.79868e-17
8.14000e+02,2.63156e-16,1.77419e-16,8.57365e-17
8.20000e+02,2.54608e-16,1.71061e-16,8.35468e-17
8.26000e+02,2.45847e-16,1.64992e-16,8.08557e-17
8.32000e+02,2.37341e-16,1.59199e-16,7.81418e-17
8.38000e+02,2.29335e-16,1.53681e-16,7.56542e-17
8.44000e+02,2.21769e-16,1.48413e-16,7.33555e-17
8.50000e+02,2.14632e-16,1.43388e-16,7.12438e-17
8.56000e+02,2.07873e-16,1.38585e-16,6.92889e-17
8.62000e+02,2.01484e-16,1.33996e-16,6.74885e-17
8.68000e+02,1.95424e-16,1.29604e-16,6.58194e-17
8.74000e+02,1.89683e-16,1.25404e-16,6.42788e-17
8.80000e+02,1.84237e-16,1.21383e-16,6.28544e-17
8.86000e+02,1.79070e-16,1.17533e-16,6.15372e-17
8.92000e+02,1.74155e-16,1.13840e-16,6.03150e-17
8.98000e+02,1.70005e-16,1.10318e-16,5.96866e-17
9.04000e+02,1.66071e-16,1.06936e-16,5.91355e-17
9.10000e+02,1.62286e-16,1.03690e-16,5.85961e-17
9.16000e+02,1.58637e-16,1.00568e-16,5.80688e-17
9.22000e+02,1.55120e-16,9.75665e-17,5.75530e-17
9.28000e+02,1.51728e-16,9.46797e-17,5.70483e-17
9.34000e+02,1.48457e-16,9.19029e-17,5.65540e-17
9.40000e+02,1.45300e-16,8.92304e-17,5.60697e-17
9.46000e+02,1.42251e-16,8.66547e-17,5.55963e-17
9.52000e+02,1.39308e-16,8.41764e-17,5.51314e-17
9.58000e+02,1.36463e-16,8.17868e-17,5.46765e-17
9.64000e+02,1.33716e-16,7.94857e-17,5.42298e-17
9.70000e+02,1.31058e-16,7.72656e-17,5.37922e-17
9.76000e+02,1.28489e-16,7.51261e-17,5.33625e-17
9.82000e+02,1.26003e-16,7.30624e-17,5.29407e-17
9.88000e+02,1.23478e-16,7.10662e-17,5.24120e-17
9.94000e+02,1.20950e-16,6.91395e-17,5.18109e-17
1.00000e+03,1.18510e-16,6.72791e-17,5.12309e-17
