Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,1.40955e-14,4.35280e-15,9.74272e-15
4.06000e+02,1.40891e-14,4.27852e-15,9.81058e-15
4.12000e+02,1.40605e-14,4.19018e-15,9.87032e-15
4.18000e+02,1.40131e-14,4.09118e-15,9.92197e-15
4.24000e+02,1.39381e-14,3.97640e-15,9.96173e-15
4.30000e+02,1.38430e-14,3.85107e-15,9.99197e-15
4.36000e+02,1.37435e-14,3.72483e-15,1.00187e-14
4.42000e+02,1.36378e-14,3.59662e-15,1.00412e-14
4.48000e+02,1.35305e-14,3.47047e-15,1.00600e-14
4.54000e+02,1.34317e-14,3.35484e-15,1.00769e-14
4.60000e+02,1.33437e-14,3.25307e-15,1.00906e-14
4.66000e+02,1.32546e-14,3.15974e-15,1.00948e-14
4.72000e+02,1.32084e-14,3.09977e-15,1.01087e-14
4.78000e+02,1.32539e-14,3.10225e-15,1.01517e-14
4.84000e+02,1.34592e-14,3.21140e-15,1.02478e-14
4.90000e+02,1.37977e-14,3.41079e-15,1.03869e-14
4.96000e+02,1.41772e-14,3.63415e-15,1.05431e-14
5.02000e+02,1.47197e-14,3.95495e-15,1.07647e-14
5.08000e+02,1.54571e-14,4.39198e-15,1.10652e-14
5.14000e+02,1.64280e-14,4.97189e-15,1.14561e-14
5.20000e+02,1.76525e-14,5.71654e-15,1.19360e-14
5.26000e+02,1.92570e-14,6.71663e-15,1.25403e-14
5.32000e+02,2.11279e-14,7.95778e-15,1.31702e-14
5.38000e+02,2.32383e-14,9.45657e-15,1.37818e-14
5.44000e+02,2.56208e-14,1.12392e-14,1.43817e-14
5.50000e+02,2.82696e-14,1.32877e-14,1.49819e-14
5.56000e+02,3.10712e-14,1.55370e-14,1.55342e-14
5.62000e+02,3.40404e-14,1.79948e-14,1.60456e-14
5.68000e+02,3.69740e-14,2.05406e-14,1.64334e-14
5.74000e+02,3.95635e-14,2.29767e-14,1.65868e-14
5.80000e+02,4.14349e-14,2.50364e-14,1.63985e-14
