Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,2.41256e-14,9.21550e-15,1.49101e-14
4.06000e+02,2.41543e-14,9.11461e-15,1.50396e-14
4.12000e+02,2.41523e-14,8.98589e-15,1.51665e-14
4.18000e+02,2.41230e-14,8.83476e-15,1.52883e-14
4.24000e+02,2.40544e-14,8.65089e-15,1.54036e-14
4.30000e+02,2.39572e-14,8.44203e-15,1.55152e-14
4.36000e+02,2.38539e-14,8.22458e-15,1.56293e-14
4.42000e+02,2.37461e-14,7.99575e-15,1.57503e-14
4.48000e+02,2.36448e-14,7.76318e-15,1.58817e-14
4.54000e+02,2.35680e-14,7.54499e-15,1.60230e-14
4.60000e+02,2.35210e-14,7.35042e-15,1.61706e-14
4.66000e+02,2.34830e-14,7.17169e-15,1.63113e-14
4.72000e+02,2.35368e-14,7.05939e-15,1.64774e-14
4.78000e+02,2.37793e-14,7.07838e-15,1.67010e-14
4.84000e+02,2.43546e-14,7.33192e-15,1.70227e-14
4.90000e+02,2.52062e-14,7.79860e-15,1.74076e-14
4.96000e+02,2.61304e-14,8.33678e-15,1.77937e-14
5.02000e+02,2.73555e-14,9.10787e-15,1.82477e-14
5.08000e+02,2.89174e-14,1.01539e-14,1.87635e-14
5.14000e+02,3.08478e-14,1.15279e-14,1.93199e-14
5.20000e+02,3.31318e-14,1.32591e-14,1.98727e-14
5.26000e+02,3.58846e-14,1.54839e-14,2.04007e-14
5.32000e+02,3.89371e-14,1.81076e-14,2.08295e-14
5.38000e+02,4.22037e-14,2.10616e-14,2.11421e-14
5.44000e+02,4.55626e-14,2.42442e-14,2.13184e-14
5.50000e+02,4.87583e-14,2.74532e-14,2.13051e-14
5.56000e+02,5.15582e-14,3.05140e-14,2.10442e-14
5.62000e+02,5.37172e-14,3.32413e-14,2.04759e-14
5.68000e+02,5.49539e-14,3.53899e-14,1.95640e-14
5.74000e+02,5.50794e-14,3.67597e-14,1.83197e-14
5.80000e+02,5.40579e-14,3.72457e-14,1.68121e-14
