# Ratio, Abs532nm
2.500000000000000000e+01 6.578730639730465353e-15
2.602564102564102555e+01 7.773616554379157905e-15
2.705128205128205110e+01 8.894086170504235186e-15
2.807692307692307665e+01 9.943147687464733069e-15
2.910256410256410220e+01 1.092380930461970005e-14
3.012820512820512775e+01 1.183907922132809627e-14
3.115384615384615330e+01 1.269196563694900809e-14
3.217948717948718240e+01 1.348547675084140828e-14
3.320512820512820440e+01 1.422262076236434533e-14
3.423076923076922640e+01 1.490640587087684249e-14
3.525641025641025550e+01 1.553984027573789777e-14
3.628205128205128460e+01 1.612593217630655967e-14
3.730769230769230660e+01 1.666768977194182619e-14
3.833333333333332860e+01 1.716812126200273321e-14
3.935897435897435770e+01 1.763023484584830398e-14
4.038461538461538680e+01 1.805703872283752389e-14
4.141025641025640880e+01 1.845154109232947929e-14
4.243589743589743080e+01 1.881675015368313033e-14
4.346153846153845990e+01 1.915567410625752551e-14
4.448717948717948900e+01 1.947132114941170069e-14
4.551282051282051100e+01 1.976669948250465389e-14
4.653846153846153300e+01 2.004481730489539574e-14
4.756410256410256210e+01 2.030868281594298735e-14
4.858974358974359120e+01 2.056130421500642673e-14
4.961538461538461320e+01 2.080568970144472451e-14
5.064102564102563520e+01 2.104484747461692919e-14
5.166666666666666430e+01 2.128178573388201353e-14
5.269230769230769340e+01 2.151951267859906389e-14
5.371794871794871540e+01 2.176103650812702780e-14
5.474358974358973740e+01 2.200936542182500423e-14
5.576923076923076650e+01 2.226750761905197857e-14
5.679487179487179560e+01 2.253847129916697407e-14
5.782051282051281760e+01 2.282526466152900137e-14
5.884615384615383959e+01 2.313089590549705847e-14
5.987179487179486870e+01 2.345837323043023174e-14
6.089743589743589780e+01 2.381070483568750655e-14
6.192307692307691980e+01 2.419089892062790616e-14
6.294871794871794179e+01 2.460196368461044120e-14
6.397435897435897090e+01 2.504690732699416017e-14
6.500000000000000000e+01 2.552873804713807369e-14
