Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,1.04503e-14,2.66876e-15,7.78151e-15
4.06000e+02,1.04247e-14,2.60357e-15,7.82112e-15
4.12000e+02,1.03804e-14,2.53004e-15,7.85041e-15
4.18000e+02,1.03204e-14,2.45060e-15,7.86975e-15
4.24000e+02,1.02386e-14,2.36241e-15,7.87622e-15
4.30000e+02,1.01440e-14,2.26967e-15,7.87438e-15
4.36000e+02,1.00517e-14,2.17919e-15,7.87249e-15
4.42000e+02,9.96304e-15,2.09078e-15,7.87225e-15
4.48000e+02,9.88301e-15,2.00708e-15,7.87593e-15
4.54000e+02,9.81739e-15,1.93260e-15,7.88479e-15
4.60000e+02,9.76477e-15,1.86849e-15,7.89628e-15
4.66000e+02,9.71100e-15,1.81015e-15,7.90085e-15
4.72000e+02,9.69684e-15,1.77417e-15,7.92267e-15
4.78000e+02,9.76314e-15,1.77895e-15,7.98419e-15
4.84000e+02,9.96613e-15,1.85284e-15,8.11328e-15
4.90000e+02,1.02745e-14,1.98453e-15,8.29001e-15
4.96000e+02,1.06071e-14,2.13093e-15,8.47619e-15
5.02000e+02,1.10728e-14,2.34222e-15,8.73054e-15
5.08000e+02,1.17017e-14,2.63344e-15,9.06831e-15
5.14000e+02,1.25334e-14,3.02658e-15,9.50680e-15
5.20000e+02,1.35973e-14,3.54248e-15,1.00548e-14
5.26000e+02,1.50283e-14,4.25302e-15,1.07753e-14
5.32000e+02,1.67617e-14,5.16075e-15,1.16009e-14
5.38000e+02,1.87960e-14,6.28785e-15,1.25081e-14
5.44000e+02,2.11464e-14,7.65638e-15,1.34900e-14
5.50000e+02,2.37315e-14,9.23825e-15,1.44932e-14
5.56000e+02,2.63491e-14,1.09583e-14,1.53908e-14
5.62000e+02,2.88413e-14,1.27445e-14,1.60968e-14
5.68000e+02,3.08153e-14,1.43938e-14,1.64215e-14
5.74000e+02,3.18279e-14,1.56418e-14,1.61861e-14
5.80000e+02,3.15671e-14,1.62500e-14,1.53170e-14
5.86000e+02,2.99150e-14,1.60613e-14,1.38538e-14
5.92000e+02,2.72254e-14,1.51887e-14,1.20367e-14
5.98000e+02,2.40932e-14,1.39218e-14,1.01714e-14
6.04000e+02,2.09420e-14,1.24979e-14,8.44409e-15
6.10000e+02,1.80310e-14,1.10853e-14,6.94573e-15
6.16000e+02,1.54741e-14,9.77751e-15,5.69662e-15
6.22000e+02,1.33191e-14,8.66132e-15,4.65776e-15
6.28000e+02,1.15048e-14,7.68523e-15,3.81960e-15
6.34000e+02,9.97933e-15,6.83077e-15,3.14855e-15
6.40000e+02,8.70198e-15,6.08922e-15,2.61276e-15
6.46000e+02,7.63601e-15,5.44959e-15,2.18642e-15
6.52000e+02,6.74343e-15,4.89755e-15,1.84587e-15
6.58000e+02,5.99034e-15,4.41879e-15,1.57154e-15
6.64000e+02,5.36751e-15,4.00091e-15,1.36661e-15
6.70000e+02,4.84348e-15,3.63698e-15,1.20650e-15
6.76000e+02,4.39130e-15,3.31754e-15,1.07376e-15
6.82000e+02,4.00041e-15,3.03674e-15,9.63667e-16
6.88000e+02,3.66165e-15,2.78940e-15,8.72254e-16
6.94000e+02,3.36545e-15,2.56988e-15,7.95564e-16
7.00000e+02,3.10526e-15,2.37430e-15,7.30958e-16
7.06000e+02,2.87553e-15,2.19940e-15,6.76124e-16
7.12000e+02,2.67113e-15,2.04300e-15,6.28124e-16
7.18000e+02,2.48774e-15,1.90207e-15,5.85663e-16
7.24000e+02,2.32216e-15,1.77437e-15,5.47785e-16
7.30000e+02,2.17256e-15,1.65856e-15,5.13996e-16
7.36000e+02,2.03660e-15,1.55298e-15,4.83620e-16
7.42000e+02,1.91307e-15,1.45673e-15,4.56340e-16
7.48000e+02,1.80048e-15,1.36873e-15,4.31748e-16
7.54000e+02,1.69753e-15,1.28804e-15,4.09488e-16
7.60000e+02,1.60386e-15,1.21387e-15,3.89987e-16
7.66000e+02,1.51780e-15,1.14551e-15,3.72293e-16
7.72000e+02,1.43812e-15,1.08243e-15,3.55692e-16
7.78000e+02,1.36415e-15,1.02407e-15,3.40082e-16
7.84000e+02,1.29539e-15,9.70002e-16,3.25390e-16
7.90000e+02,1.23135e-15,9.19806e-16,3.11546e-16
7.96000e+02,1.17161e-15,8.73124e-16,2.98481e-16
8.02000e+02,1.11594e-15,8.29744e-16,2.86199e-16
8.08000e+02,1.06368e-15,7.89162e-16,2.74518e-16
8.14000e+02,1.01502e-15,7.51438e-16,2.63582e-16
8.20000e+02,9.69196e-16,7.16040e-16,2.53156e-16
8.26000e+02,9.24313e-16,6.82782e-16,2.41531e-16
8.32000e+02,8.81737e-16,6.51555e-16,2.30181e-16
8.38000e+02,8.42210e-16,6.22345e-16,2.19864e-16
8.44000e+02,8.05291e-16,5.94898e-16,2.10392e-16
8.50000e+02,7.70904e-16,5.69156e-16,2.01749e-16
8.56000e+02,7.38693e-16,5.44908e-16,1.93785e-16
8.62000e+02,7.08587e-16,5.22101e-16,1.86487e-16
8.68000e+02,6.80304e-16,5.00565e-16,1.79739e-16
8.74000e+02,6.53794e-16,4.80263e-16,1.73531e-16
8.80000e+02,6.28895e-16,4.61091e-16,1.67804e-16
8.86000e+02,6.05491e-16,4.42975e-16,1.62517e-16
8.92000e+02,5.83402e-16,4.25799e-16,1.57603e-16
8.98000e+02,5.64155e-16,4.09722e-16,1.54433e-16
9.04000e+02,5.45966e-16,3.94434e-16,1.51531e-16
9.10000e+02,5.28681e-16,3.79937e-16,1.48744e-16
9.16000e+02,5.12146e-16,3.66109e-16,1.46037e-16
9.22000e+02,4.96367e-16,3.52946e-16,1.43420e-16
9.28000e+02,4.81291e-16,3.40403e-16,1.40888e-16
9.34000e+02,4.66888e-16,3.28450e-16,1.38438e-16
9.40000e+02,4.53112e-16,3.17047e-16,1.36065e-16
9.46000e+02,4.39892e-16,3.06139e-16,1.33753e-16
9.52000e+02,4.27265e-16,2.95743e-16,1.31522e-16
9.58000e+02,4.15141e-16,2.85792e-16,1.29349e-16
9.64000e+02,4.03543e-16,2.76296e-16,1.27247e-16
9.70000e+02,3.92393e-16,2.67195e-16,1.25198e-16
9.76000e+02,3.81715e-16,2.58500e-16,1.23215e-16
9.82000e+02,3.71464e-16,2.50175e-16,1.21289e-16
9.88000e+02,3.61283e-16,2.42157e-16,1.19126e-16
9.94000e+02,3.51311e-16,2.34473e-16,1.16837e-16
1.00000e+03,3.41739e-16,2.27104e-16,1.14635e-16
