Wavelength,Extinction,Scattering,Absorbtion
4.00000e+02,3.69425e-15,4.06523e-16,3.28773e-15
4.06000e+02,3.65049e-15,3.87802e-16,3.26269e-15
4.12000e+02,3.60354e-15,3.68840e-16,3.23470e-15
4.18000e+02,3.55312e-15,3.49914e-16,3.20321e-15
4.24000e+02,3.50123e-15,3.30888e-16,3.17035e-15
4.30000e+02,3.45511e-15,3.12641e-16,3.14247e-15
4.36000e+02,3.42304e-15,2.96245e-16,3.12679e-15
4.42000e+02,3.41212e-15,2.81914e-16,3.13021e-15
4.48000e+02,3.42724e-15,2.69988e-16,3.15726e-15
4.54000e+02,3.46590e-15,2.60606e-16,3.20529e-15
4.60000e+02,3.52249e-15,2.53491e-16,3.26900e-15
4.66000e+02,3.58184e-15,2.47358e-16,3.33448e-15
4.72000e+02,3.67620e-15,2.45551e-16,3.43065e-15
4.78000e+02,3.83521e-15,2.51665e-16,3.58355e-15
4.84000e+02,4.10465e-15,2.71956e-16,3.83270e-15
4.90000e+02,4.44944e-15,3.04749e-16,4.14469e-15
4.96000e+02,4.79116e-15,3.41015e-16,4.45014e-15
5.02000e+02,5.21329e-15,3.92468e-16,4.82083e-15
5.08000e+02,5.72562e-15,4.63124e-16,5.26250e-15
5.14000e+02,6.32705e-15,5.57260e-16,5.76979e-15
5.20000e+02,6.97338e-15,6.74599e-16,6.29878e-15
5.26000e+02,7.55317e-15,8.09680e-16,6.74349e-15
5.32000e+02,7.87527e-15,9.36229e-16,6.93904e-15
5.38000e+02,7.77523e-15,1.02267e-15,6.75256e-15
5.44000e+02,7.20511e-15,1.04453e-15,6.16059e-15
5.50000e+02,6.31337e-15,1.00341e-15,5.30995e-15
5.56000e+02,5.37500e-15,9.32522e-16,4.44248e-15
5.62000e+02,4.45506e-15,8.40775e-16,3.61429e-15
5.68000e+02,3.63951e-15,7.44448e-16,2.89506e-15
5.74000e+02,2.95832e-15,6.53399e-16,2.30492e-15
5.80000e+02,2.40950e-15,5.72275e-16,1.83722e-15
5.86000e+02,1.96675e-15,5.00081e-16,1.46667e-15
5.92000e+02,1.61684e-15,4.38305e-16,1.17854e-15
5.98000e+02,1.34404e-15,3.86958e-16,9.57085e-16
6.04000e+02,1.12916e-15,3.44039e-16,7.85116e-16
6.10000e+02,9.58110e-16,3.07914e-16,6.50196e-16
6.16000e+02,8.20538e-16,2.77277e-16,5.43262e-16
6.22000e+02,7.05960e-16,2.51684e-16,4.54276e-16
6.28000e+02,6.12109e-16,2.29672e-16,3.82437e-16
6.34000e+02,5.34851e-16,2.10435e-16,3.24416e-16
6.40000e+02,4.70810e-16,1.93531e-16,2.77279e-16
6.46000e+02,4.17569e-16,1.78631e-16,2.38938e-16
6.52000e+02,3.72981e-16,1.65423e-16,2.07558e-16
6.58000e+02,3.35270e-16,1.53630e-16,1.81640e-16
6.64000e+02,3.05277e-16,1.43053e-16,1.62224e-16
6.70000e+02,2.80439e-16,1.33546e-16,1.46893e-16
6.76000e+02,2.58838e-16,1.24929e-16,1.33909e-16
6.82000e+02,2.40042e-16,1.17110e-16,1.22932e-16
6.88000e+02,2.23668e-16,1.10005e-16,1.13662e-16
6.94000e+02,2.09283e-16,1.03513e-16,1.05770e-16
7.00000e+02,1.96602e-16,9.75629e-17,9.90389e-17
7.06000e+02,1.85359e-16,9.20970e-17,9.32616e-17
7.12000e+02,1.75182e-16,8.70762e-17,8.81056e-17
7.18000e+02,1.65901e-16,8.24390e-17,8.34616e-17
7.24000e+02,1.57386e-16,7.81393e-17,7.92472e-17
7.30000e+02,1.49578e-16,7.41515e-17,7.54264e-17
7.36000e+02,1.42378e-16,7.04393e-17,7.19385e-17
7.42000e+02,1.35745e-16,6.69848e-17,6.87603e-17
7.48000e+02,1.29620e-16,6.37640e-17,6.58558e-17
7.54000e+02,1.23947e-16,6.07554e-17,6.31921e-17
7.60000e+02,1.18796e-16,5.79408e-17,6.08548e-17
7.66000e+02,1.14016e-16,5.53023e-17,5.87132e-17
7.72000e+02,1.09493e-16,5.28273e-17,5.66655e-17
7.78000e+02,1.05206e-16,5.05015e-17,5.47049e-17
7.84000e+02,1.01141e-16,4.83139e-17,5.28276e-17
7.90000e+02,9.72830e-17,4.62535e-17,5.10294e-17
7.96000e+02,9.36164e-17,4.43108e-17,4.93056e-17
8.02000e+02,9.01411e-17,4.24803e-17,4.76608e-17
8.08000e+02,8.68208e-17,4.07471e-17,4.60737e-17
8.14000e+02,8.36819e-17,3.91142e-17,4.45677e-17
8.20000e+02,8.06777e-17,3.75649e-17,4.31127e-17
8.26000e+02,7.75119e-17,3.60932e-17,4.14187e-17
8.32000e+02,7.44333e-17,3.46964e-17,3.97369e-17
8.38000e+02,7.15736e-17,3.33748e-17,3.81987e-17
8.44000e+02,6.88984e-17,3.21203e-17,3.67781e-17
8.50000e+02,6.64059e-17,3.09310e-17,3.54748e-17
8.56000e+02,6.40680e-17,2.98002e-17,3.42678e-17
8.62000e+02,6.18824e-17,2.87261e-17,3.31564e-17
8.68000e+02,5.98271e-17,2.77029e-17,3.21242e-17
8.74000e+02,5.79001e-17,2.67295e-17,3.11707e-17
8.80000e+02,5.60899e-17,2.58022e-17,3.02876e-17
8.86000e+02,5.43882e-17,2.49187e-17,2.94695e-17
8.92000e+02,5.27814e-17,2.40746e-17,2.87068e-17
8.98000e+02,5.15237e-17,2.32762e-17,2.82475e-17
9.04000e+02,5.03415e-17,2.25119e-17,2.78296e-17
9.10000e+02,4.92062e-17,2.17816e-17,2.74246e-17
9.16000e+02,4.81089e-17,2.10809e-17,2.70279e-17
9.22000e+02,4.70511e-17,2.04096e-17,2.66415e-17
9.28000e+02,4.60303e-17,1.97659e-17,2.62644e-17
9.34000e+02,4.50455e-17,1.91486e-17,2.58969e-17
9.40000e+02,4.40943e-17,1.85564e-17,2.55380e-17
9.46000e+02,4.31729e-17,1.79868e-17,2.51861e-17
9.52000e+02,4.22844e-17,1.74407e-17,2.48437e-17
9.58000e+02,4.14233e-17,1.69152e-17,2.45081e-17
9.64000e+02,4.05921e-17,1.64109e-17,2.41811e-17
9.70000e+02,3.97856e-17,1.59253e-17,2.38603e-17
9.76000e+02,3.90065e-17,1.54588e-17,2.35476e-17
9.82000e+02,3.82520e-17,1.50100e-17,2.32419e-17
9.88000e+02,3.74643e-17,1.45762e-17,2.28881e-17
9.94000e+02,3.66647e-17,1.41584e-17,2.25063e-17
1.00000e+03,3.58932e-17,1.37560e-17,2.21373e-17
